entry_date,entry_price,exit_date,exit_price,return,pnl,holding_days,exit_reason,stop_loss_pct,used_swing_low,swing_distance_pct,buffer_pct,ticker
2024-03-25,172.89999389648438,2024-04-12,163.27999877929688,-0.0556390714677932,-55.63907146779323,18,stop_loss,0.0479412581549613,True,0.0052052858777034,0.0427359722772579,AMD
2024-08-06,135.14999389648438,2024-08-20,156.39999389648438,0.1572327115033096,157.23271150330964,14,target_reached,0.1,True,0.0985571044541215,0.0495138531714793,AMD
2025-04-04,90.0999984741211,2025-04-08,78.20999908447266,-0.1319644793674833,-131.96447936748334,4,stop_loss,0.1,True,0.0713651544291938,0.0434143398350476,AMD
2025-04-10,91.0,2025-05-12,108.12000274658205,0.1881318983140885,188.1318983140885,32,target_reached,0.1,True,0.1595604026710594,0.0670760195158173,AMD
2025-11-11,241.66000366210932,2025-11-20,206.0200042724609,-0.1474799257202715,-147.47992572027158,9,stop_loss,0.1,True,0.0704295457028064,0.0390936897652672,AMD
2025-11-21,208.8099975585937,2025-12-09,221.6199951171875,0.0613476256327198,61.3476256327199,18,end_of_data,0.1,True,0.0661366683590833,0.06214685181654,AMD
2024-02-08,16.25,2024-02-27,15.100000381469728,-0.0707692072941705,-70.76920729417057,19,stop_loss,0.0433220099313154,True,0.0172307527982271,0.0260912571330882,AES
2024-02-28,15.020000457763672,2024-03-28,17.93000030517578,0.1937416616993486,193.74166169934855,29,target_reached,0.0511042306936987,True,0.0219707634702366,0.0291334672234621,AES
2025-01-22,11.649999618530272,2025-02-03,10.710000038146973,-0.0806866619023878,-80.68666190238783,12,stop_loss,0.0792103235986145,True,0.0480686252600091,0.0311416983386053,AES
2025-03-03,11.149999618530272,2025-03-17,13.050000190734863,0.1704036445926837,170.40364459268375,14,target_reached,0.1,True,0.1139013047120406,0.033559941075027,AES
2025-04-07,10.510000228881836,2025-05-13,12.550000190734863,0.1941008484706821,194.1008484706821,36,target_reached,0.0687806616255718,True,0.0352045554235393,0.0335761062020324,AES
2025-05-21,11.260000228881836,2025-05-22,9.630000114440918,-0.1447602203648252,-144.76022036482527,1,stop_loss,0.1,True,0.1012433676864996,0.0406677603010711,AES
2024-03-08,123.30999755859376,2024-04-22,112.29000091552734,-0.089368233405649,-89.36823340564904,45,time_limit,0.1,True,0.1347822191731869,0.0528425414428251,ALB
2024-06-14,107.0999984741211,2024-06-18,99.54000091552734,-0.0705882135042279,-70.58821350422795,4,stop_loss,0.0647840122379461,True,0.0352941067521139,0.0294899054858321,ALB
2024-06-20,97.6999969482422,2024-08-02,86.98999786376953,-0.1096212837155606,-109.62128371556068,43,stop_loss,0.0756081866467908,True,0.0406345313747733,0.0349736552720175,ALB
2024-08-05,80.30000305175781,2024-08-12,76.0,-0.0535492265048386,-53.54922650483862,7,stop_loss,0.0465133187101326,True,0.0049813388627281,0.0415319798474045,ALB
2024-08-13,76.9000015258789,2024-08-21,88.5999984741211,0.1521456009894204,152.14560098942042,8,target_reached,0.0744660116968712,True,0.0270481377084851,0.0474178739883861,ALB
2024-08-22,87.88999938964844,2024-09-06,76.9000015258789,-0.1250426435327056,-125.04264353270568,15,stop_loss,0.1,True,0.1811354907213749,0.0385383839811312,ALB
2024-09-09,78.0,2024-09-17,89.81999969482422,0.1515384576259515,151.53845762595154,8,target_reached,0.0725506706645759,True,0.0338461460211338,0.0387045246434421,ALB
2024-12-13,102.0,2024-12-18,90.54000091552734,-0.1123529322007123,-112.3529322007123,5,stop_loss,0.071107615040896,True,0.0388235204360064,0.0322840946048896,ALB
2024-12-19,91.5,2025-01-31,84.19000244140625,-0.0798906837004781,-79.89068370047814,43,stop_loss,0.0707461883656183,True,0.0301639577730105,0.0405822305926077,ALB
2025-02-03,81.51000213623047,2025-02-10,75.13999938964844,-0.0781499519032722,-78.14995190327222,7,stop_loss,0.0517563463597944,True,0.0226965823289898,0.0290597640308045,ALB
2025-02-11,73.41000366210938,2025-03-03,69.94999694824219,-0.047132632356114,-47.13263235611409,20,stop_loss,0.04,True,0.0072198117729419,0.0283567825521686,ALB
2025-03-04,69.0,2025-03-19,79.48999786376953,0.1520289545473845,152.02895454738453,15,target_reached,0.0688448299799307,True,0.0256521252618319,0.0431927047180987,ALB
2025-03-20,77.41000366210938,2025-04-03,66.5,-0.1409379039656292,-140.93790396562923,14,stop_loss,0.1,True,0.0821599316557667,0.0396482626356817,ALB
2025-04-04,63.2400016784668,2025-04-08,50.7599983215332,-0.1973435013551404,-197.3435013551405,4,stop_loss,0.1,True,0.0902909985392073,0.0444612563074368,ALB
2025-04-10,57.11000061035156,2025-05-23,57.61000061035156,0.0087550340510655,8.755034051065591,43,time_limit,0.1,True,0.1344773283680149,0.0757598508629352,ALB
2025-05-27,58.380001068115234,2025-07-02,67.98999786376953,0.1646111103088499,164.6111103088499,36,target_reached,0.0821418211572422,True,0.0496745713055967,0.0324672498516455,ALB
2025-09-11,71.83999633789062,2025-09-25,84.83000183105469,0.1808185712046415,180.8185712046415,14,target_reached,0.0506629147131769,True,0.0082126443202425,0.0424502703929343,ALB
2025-11-04,91.70999908447266,2025-11-12,110.31999969482422,0.2029222636150087,202.92226361500877,8,target_reached,0.0866297663736264,True,0.0403445315143246,0.0462852348593018,ALB
2025-11-03,56.84000015258789,2025-11-13,52.2400016784668,-0.0809288962310401,-80.92889623104016,10,stop_loss,0.0782802644146492,True,0.0320196989785081,0.0462605654361411,ARE
