year,Annual PnL
2008,-8273.03502750397
2009,6735.006437540042
2010,1832.68581581117
2011,7005.056441307063
2012,-126.25766563416062
2013,-2317.0364027023384
2014,1793.0869054794314
2015,2612.684882163998
2016,-1887.4505863189702
2017,414.4261131286622
2018,609.1193466186452
2019,-1346.6549301147431
2020,10908.12048339842
2021,-1339.2189102172833
2022,-5351.50733947753
2023,356.6520233154408
2024,6974.291870117194
2025,-6665.731033325204
