momentum_threshold,stop_loss_atr_mult,time_exit_days,risk_percentage,total_return,num_trades,win_rate,sharpe
0.01,1.0,5,0.01,-0.22906348445831737,30,0.3,-3.2932980962964593
0.01,1.0,7,0.01,-0.30100787271692103,35,0.2857142857142857,-2.6684046642312285
0.01,1.0,10,0.01,-0.2885332166492547,33,0.2727272727272727,-2.6002012479944123
0.01,1.5,5,0.01,0.05590942640545301,61,0.4426229508196721,0.26530204156777115
0.01,1.5,7,0.01,0.07993376857576856,62,0.3870967741935484,0.310189373480579
0.01,1.5,10,0.01,0.12871359118619863,60,0.4,0.6037326381405158
0.01,2.0,5,0.01,-0.18302587030724962,84,0.4523809523809524,-0.6144150057330543
0.01,2.0,7,0.01,0.9175889056543833,86,0.5116279069767442,2.9199194579849337
0.01,2.0,10,0.01,0.33630224068949816,83,0.43373493975903615,0.9146641381449536
0.01,2.5,5,0.01,0.002593947883783502,103,0.42718446601941745,0.006884204822389511
0.01,2.5,7,0.01,-0.0658879096270192,99,0.47474747474747475,-0.17786061760314031
0.01,2.5,10,0.01,0.46152045343074094,101,0.5445544554455446,1.1044729677012282
0.015,1.0,5,0.01,0.03111333481537471,33,0.3939393939393939,0.32951373492568903
0.015,1.0,7,0.01,-0.48894869107531813,38,0.2631578947368421,-4.726939162061607
0.015,1.0,10,0.01,0.3070532221590252,36,0.3611111111111111,1.8749187333339559
0.015,1.5,5,0.01,-0.06703224991997923,61,0.4098360655737705,-0.34661645889429693
0.015,1.5,7,0.01,0.6110278495429997,59,0.4406779661016949,2.0960139983039827
0.015,1.5,10,0.01,0.5827721293141993,66,0.4393939393939394,1.847685855419699
0.015,2.0,5,0.01,-0.296242043939944,79,0.4050632911392405,-1.1233387944251816
0.015,2.0,7,0.01,1.1579610334247914,84,0.5238095238095238,3.823766753872
0.015,2.0,10,0.01,0.09635127071226193,85,0.4235294117647059,0.2803716403475729
0.015,2.5,5,0.01,-0.5421100190190089,105,0.38095238095238093,-1.4821838901264872
0.015,2.5,7,0.01,-0.30913472715653906,102,0.4411764705882353,-0.8733220997828339
0.015,2.5,10,0.01,0.9412403859515841,107,0.5514018691588785,2.023142756784616
0.02,1.0,5,0.01,-0.2082398520739672,32,0.34375,-3.0538032827146098
0.02,1.0,7,0.01,-0.4886330566561951,39,0.23076923076923078,-4.871483026689061
0.02,1.0,10,0.01,0.33413917159823453,40,0.35,1.7997563930017348
0.02,1.5,5,0.01,0.05151350476009507,62,0.41935483870967744,0.25047207497747265
0.02,1.5,7,0.01,0.25625232551064175,62,0.41935483870967744,0.8872708914887546
0.02,1.5,10,0.01,0.7163772369850707,67,0.44776119402985076,2.1855070538216275
0.02,2.0,5,0.01,-0.6701158828497876,84,0.35714285714285715,-2.3547343831664658
0.02,2.0,7,0.01,0.45686633672515814,85,0.4823529411764706,1.5950485595872612
0.02,2.0,10,0.01,0.4085666712144266,84,0.4523809523809524,1.1009907443385383
0.02,2.5,5,0.01,-0.44097084432819017,106,0.39622641509433965,-1.1586586050662273
0.02,2.5,7,0.01,-0.1755502045166175,104,0.4326923076923077,-0.49237738620412297
0.02,2.5,10,0.01,1.2952815177628716,109,0.5229357798165137,2.448126499215588
0.025,1.0,5,0.01,-0.34898212404519535,37,0.35135135135135137,-4.047834456516111
0.025,1.0,7,0.01,-0.5372786444966999,39,0.23076923076923078,-5.275705766581159
0.025,1.0,10,0.01,0.3454400399847596,39,0.358974358974359,2.0356029543838474
0.025,1.5,5,0.01,-0.0030283507876233684,59,0.4745762711864407,-0.01601885851725469
0.025,1.5,7,0.01,0.6430682138218053,60,0.43333333333333335,2.196202084031796
0.025,1.5,10,0.01,0.49850492007813946,65,0.38461538461538464,1.5757552917944286
0.025,2.0,5,0.01,-0.21084534261961368,85,0.36470588235294116,-0.6165064548869922
0.025,2.0,7,0.01,0.23394478836148275,84,0.44047619047619047,0.8330782382671976
0.025,2.0,10,0.01,0.13597421963749648,82,0.4146341463414634,0.32316988136751007
0.025,2.5,5,0.01,-0.11402451045498774,109,0.43119266055045874,-0.2881230411381499
0.025,2.5,7,0.01,-0.34646929130709464,107,0.4392523364485981,-0.9185665342088901
0.025,2.5,10,0.01,1.6886530121660202,113,0.5221238938053098,2.821210161736812
