ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl
AMZN,2008-01-02,2008-01-04,4.8125,4.5395002365112305,2158,-589.1334896087646
AMZN,2008-01-03,2008-01-04,4.760499954223633,4.487499713897705,1371,-374.2833294868469
AAPL,2008-01-02,2008-01-07,6.958570957183838,6.407857418060303,1815,-999.5450735092163
MSFT,2008-01-02,2008-01-07,35.220001220703125,34.61000061035156,455,-277.55027770996094
GOOGL,2008-01-02,2008-01-07,17.146896362304688,16.24749755859375,725,-652.0641326904297
GOOGL,2008-01-03,2008-01-07,17.150400161743164,16.400400161743164,647,-485.25
AMZN,2008-01-04,2008-01-09,4.439499855041504,4.261000156402588,738,-131.73277759552002
AAPL,2008-01-07,2008-01-14,6.34428596496582,6.385000228881836,324,13.191421508789062
MSFT,2008-01-07,2008-01-14,34.61000061035156,34.38999938964844,123,-27.060150146484375
GOOGL,2008-01-07,2008-01-14,16.24749755859375,16.361862182617188,168,19.2132568359375
AMZN,2008-01-07,2008-01-14,4.440999984741211,4.143499851226807,352,-104.72004699707031
GOOGL,2008-01-08,2008-01-14,15.80780792236328,16.361862182617188,119,65.93245697021506
MSFT,2008-01-29,2008-02-01,32.599998474121094,30.56856972830636,57,-115.79143851143976
AAPL,2008-02-01,2008-02-06,4.776785850524902,4.357142925262451,137,-57.49108076095581
GOOGL,2008-02-11,2008-02-19,13.042041778564451,12.736486434936523,65,-19.861097335815316
GOOGL,2008-02-12,2008-02-19,12.965214729309082,12.736486434936523,68,-15.553524017333984
AMZN,2008-02-12,2008-02-19,3.722500085830689,3.6040000915527344,164,-19.433999061584544
AAPL,2008-02-13,2008-02-19,4.621428966522217,4.363571166992188,150,-38.67866992950426
AMZN,2008-02-13,2008-02-19,3.8864998817443848,3.6040000915527344,130,-36.72497272491455
AAPL,2008-02-14,2008-02-19,4.552143096923828,4.363571166992188,131,-24.702922821044805
AAPL,2008-02-28,2008-03-04,4.63964319229126,4.450714111328125,125,-23.616135120391846
AAPL,2008-02-29,2008-03-05,4.465000152587891,4.446071147918701,108,-2.044332504272461
AAPL,2008-03-04,2008-03-10,4.450714111328125,4.2746429443359375,93,-16.374618530273438
